t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.09999999999999999,-10.0,-10.0,1.9575315793758394,-10.0,-10.0,2.0,-1.5675251471683454e-18,2.9554241974118806e-18,-0.5973748377719839,0.0,0.0,0.0,1.1926083497631772e-19,-7.199259233357731e-18,-1.2623341471867968e-17,684.5299468953726,684.5299468953726,684.5299468953726,684.5299468953725,684.5299468953725,684.5299468953725,779.8141698668543,779.8141698668543,779.8141698668543,779.8141698668542,779.8141698668542,779.8141698668542,2.711722603363662e-18,-5.06639146650451e-18,13.3178340158013,13.3178340158013,0.0,0.0,-0.0015328762790357488,0
0.10999999999999999,-10.0,-10.0,1.9515031594275845,-10.0,-10.0,2.0,-2.2965277047733124e-18,4.1125741710507065e-18,-0.6075670616462817,0.0,0.0,0.0,1.674684558982178e-19,-9.373880676932155e-18,-1.4064131564556267e-17,702.0462214703215,702.0462214703215,702.0462214703215,702.0462214703214,702.0462214703214,702.0462214703214,781.1625760326408,781.1625760326408,781.1625760326408,781.1625760326408,781.1625760326408,781.1625760326408,4.03661886439627e-18,-7.610672842548523e-18,13.363930575711654,13.363930575711654,0.0,0.0,-0.0019575604852773544,0
0.11999999999999998,-10.0,-10.0,1.9453938262940695,-10.0,-10.0,2.0,-3.2731847441124693e-18,5.485773405460637e-18,-0.6136702593260387,0.0,0.0,0.0,3.051173465060795e-19,-1.206981622206266e-17,-1.5765330815906386e-17,716.5668129803221,716.5668129803221,716.5668129803221,716.566812980322,716.566812980322,716.566812980322,782.1524637101189,782.1524637101189,782.1524637101189,782.1524637101189,782.1524637101188,782.1524637101188,5.913912815014662e-18,-1.0590512381942203e-17,13.397821528386935,13.397821528386935,0.0,0.0,-0.00244252889100151,0
0.12999999999999998,-10.0,-10.0,1.9392412397351957,-10.0,-10.0,2.0,-4.568819980886882e-18,7.046707631560336e-18,-0.6163167816560428,0.0,0.0,0.0,5.150084340331678e-19,-1.5309439316237454e-17,-1.6960814517214032e-17,728.5794497193804,728.5794497193804,728.5794497193804,728.5794497193802,728.5794497193802,728.5794497193802,782.8373356305149,782.8373356305149,782.8373356305149,782.8373356305148,782.8373356305148,782.8373356305148,8.428955228314112e-18,-1.4126712068567285e-17,13.421294724367455,13.421294724367455,0.0,0.0,-0.0029885906280608145,0
0.13999999999999999,-10.0,-10.0,1.9330771391016193,-10.0,-10.0,2.0,-6.223119564493831e-18,8.76693607329855e-18,-0.6160592198820499,0.0,0.0,0.0,6.707693167043625e-19,-1.8456051679418484e-17,-1.8347791357797336e-17,738.4919510451246,738.4919510451246,738.4919510451246,738.4919510451244,738.4919510451243,738.4919510451243,783.2640837341512,783.2640837341512,783.2640837341512,783.2640837341512,783.2640837341511,783.2640837341511,1.1765415665703475e-17,-1.8146358295320387e-17,13.435931413065074,13.435931413065074,0.0,0.0,-0.0035961782307088576,0
0.15,-10.0,-10.0,1.9269281120619668,-10.0,-10.0,2.0,-8.248955722073131e-18,1.0637317101794143e-17,-0.6133764462828618,0.0,0.0,0.0,8.441213896697263e-19,-2.1863358119508596e-17,-1.8474182510495945e-17,746.6455953382033,746.6455953382033,746.6455953382033,746.6455953382032,746.6455953382031,746.6455953382031,783.4734385023445,783.4734385023445,783.4734385023445,783.4734385023444,783.4734385023444,783.4734385023444,1.6025492078904098e-17,-2.2576211680151433e-17,13.443114819746771,13.443114819746771,0.0,0.0,-0.004265406839692665,0
0.16,-10.0,-10.0,1.920816296788096,-10.0,-10.0,2.0,-1.0675862817961179e-17,1.2485431419218914e-17,-0.6086807168495798,0.0,0.0,0.0,1.0365597949918514e-18,-2.5568276397500828e-17,-1.7211089036539618e-17,753.3261676524149,753.3261676524149,753.3261676524149,753.3261676524148,753.3261676524148,753.3261676524148,783.5005363875506,783.5005363875506,783.5005363875506,783.5005363875505,783.5005363875505,783.5005363875505,2.124233243686132e-17,-2.7392731119646823e-17,13.444044746056829,13.444044746056829,0.0,0.0,-0.004996125719072997,0
0.17,-10.0,-10.0,1.9147600112101029,-10.0,-10.0,2.0,-1.3549703312064288e-17,1.414834335930927e-17,-0.6023250532883001,0.0,0.0,0.0,1.2260480305095548e-18,-2.9688730233942885e-17,-1.5455650298828738e-17,758.7731146375164,758.7731146375164,758.7731146375164,758.7731146375163,758.7731146375163,758.7731146375163,783.3755257901573,783.3755257901573,783.3755257901573,783.3755257901572,783.3755257901572,783.3755257901572,2.7491992280019653e-17,-3.215191034605606e-17,13.439754987696679,13.439754987696679,0.0,0.0,-0.005787962751192037,0
0.18000000000000002,-10.0,-10.0,1.9087743091137104,-10.0,-10.0,2.0,-1.690738540683861e-17,1.5721653275999657e-17,-0.5946104331912572,0.0,0.0,0.0,1.4863934731067402e-18,-3.4049723648656525e-17,-1.4759761033088348e-17,763.1871482996128,763.1871482996128,763.1871482996128,763.1871482996127,763.1871482996127,763.1871482996127,783.1241646306923,783.1241646306923,783.1241646306923,783.1241646306922,783.1241646306922,783.1241646306922,3.4892574511646625e-17,-3.643416490466674e-17,13.431131561766472,13.431131561766472,0.0,0.0,-0.006640362639091009,0
0.19000000000000003,-10.0,-10.0,1.902871466468802,-10.0,-10.0,2.0,-2.0754736569533677e-17,1.731272207744702e-17,-0.5857925216860921,0.0,0.0,0.0,1.714120908848562e-18,-3.852370734817723e-17,-1.498085967013003e-17,766.7365734883026,766.7365734883026,766.7365734883026,766.7365734883025,766.7365734883024,766.7365734883024,782.7683832500898,782.7683832500898,782.7683832500898,782.7683832500896,782.7683832500895,782.7683832500895,4.353912344191141e-17,-4.048568044221753e-17,13.418930530884271,13.418930530884271,0.0,0.0,-0.007552619547953905,0
