t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.11999999999999998,-18.0,-18.0,2.9456534028536994,-18.0,-18.0,3.0,-4.324110941711108e-18,-4.0639490780575835e-19,-0.6062807526001385,0.0,0.0,0.0,3.834200953133564e-19,-1.2632647963498512e-17,1.2747243189397274e-18,721.2572567016931,721.2572567016931,721.2572567016931,721.2572567016931,721.257256701693,721.257256701693,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,9.645001260789923e-18,8.573126492029351e-19,13.537799999999999,13.537799999999999,0.0,0.0,-0.002436998629583842,0
0.12999999999999998,-18.0,-18.0,2.939580785308492,-18.0,-18.0,3.0,-5.620341219611557e-18,-5.474988047738065e-19,-0.6077195811839479,0.0,0.0,0.0,3.8559274214742776e-19,-1.434979248625879e-17,1.811746676363185e-18,733.0354297952205,733.0354297952205,733.0354297952205,733.0354297952205,733.0354297952204,733.0354297952204,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,1.2916892519062996e-17,1.2139742516283024e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.0029804646010468485,0
0.13999999999999999,-18.0,-18.0,2.93350849288544,-18.0,-18.0,3.0,-7.129623507502091e-18,-7.516030956450278e-19,-0.6063043355810595,0.0,0.0,0.0,3.953011593248658e-19,-1.6117761039773028e-17,2.4335093759969507e-18,742.6786127126611,742.6786127126611,742.6786127126611,742.6786127126611,742.678612712661,742.678612712661,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,1.6788964120669435e-17,1.6354768207635847e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.0035846567479619297,0
0.15,-18.0,-18.0,2.9274625626449247,-18.0,-18.0,3.0,-8.852843139130606e-18,-1.019530907193238e-18,-0.6025217704085815,0.0,0.0,0.0,3.950296735512675e-19,-1.7872956284077647e-17,2.775806442462197e-18,750.5738080066004,750.5738080066004,750.5738080066004,750.5738080066004,750.5738080066003,750.5738080066003,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,2.1297460169083264e-17,2.2451728307415064e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.0042495718191075315,0
0.16,-18.0,-18.0,2.921464563264695,-18.0,-18.0,3.0,-1.0789468969326169e-17,-1.318869554182357e-18,-0.5967806562942457,0.0,0.0,0.0,3.9794079285970787e-19,-1.9611924652728674e-17,2.8114549850478908e-18,757.0378675669249,757.0378675669249,757.0378675669249,757.0378675669249,757.0378675669248,757.0378675669248,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,2.6445025314504073e-17,3.045521108407693e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.004974946192658285,0
0.17,-18.0,-18.0,2.9155323205483885,-18.0,-18.0,3.0,-1.2939240767536718e-17,-1.5940505058933273e-18,-0.5894225370965245,0.0,0.0,0.0,3.9643566925183653e-19,-2.1374425477792852e-17,2.4222230516390826e-18,762.3302085976146,762.3302085976146,762.3302085976146,762.3302085976146,762.3302085976145,762.3302085976145,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,3.223007293133936e-17,3.939699167685273e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.005760300560011334,0
0.18000000000000002,-18.0,-18.0,2.909680539268352,-18.0,-18.0,3.0,-1.5309340343053043e-17,-1.8355821958864425e-18,-0.5807316510673499,0.0,0.0,0.0,3.8385579336342263e-19,-2.3210900831666634e-17,2.385802373505494e-18,766.663224610808,766.663224610808,766.663224610808,766.663224610808,766.6632246108079,766.6632246108079,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,3.8651825664401785e-17,4.761713871854152e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.006604977354527449,0
0.19000000000000003,-18.0,-18.0,2.903921330954138,-18.0,-18.0,3.0,-1.7898858159310313e-17,-2.0872941330482448e-18,-0.570943800291517,0.0,0.0,0.0,3.7157317870976887e-19,-2.5021607278824724e-17,2.499481592805814e-18,770.2108092546765,770.2108092546765,770.2108092546765,770.2108092546765,770.2108092546764,770.2108092546764,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,4.5731736862125754e-17,5.4832122148994746e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.007508171961843928,0
0.20000000000000004,-18.0,-18.0,2.898264658522177,-18.0,-18.0,3.0,-2.0700502995688895e-17,-2.3494075053658336e-18,-0.5602541128918511,0.0,0.0,0.0,3.8498442458104476e-19,-2.67952084263184e-17,2.7611366846251994e-18,773.1153350554331,773.1153350554331,773.1153350554331,773.1153350554331,773.115335055433,773.115335055433,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,5.34670895761701e-17,6.2351207764308635e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.00846895865230255,0
0.21000000000000005,-18.0,-18.0,2.8927187086957655,-18.0,-18.0,3.0,-2.3718111303567022e-17,-2.674468961492964e-18,-0.5488237337022674,0.0,0.0,0.0,4.0096424170747736e-19,-2.866735325877918e-17,3.3086719270549663e-18,775.4933671460392,775.4933671460392,775.4933671460392,775.4933671460392,775.4933671460391,775.4933671460391,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,6.183610362689881e-17,7.018100284513436e-18,13.537799999999999,13.537799999999999,0.0,0.0,-0.009486312067080779,0
